entry,at,order
"""aa @ UmDnqTo27H"" posts a big blind of 20",2021-02-05T07:23:31.621Z,161250981162205
"""bb @ THAVWp2FAr"" posts a small blind of 10",2021-02-05T07:23:31.621Z,161250981162204
"Your hand is Q♠, 3♠",2021-02-05T07:23:31.621Z,161250981162202
"Player stacks: #1 ""aa @ UmDnqTo27H"" (540) | #2 ""bb @ THAVWp2FAr"" (460)",2021-02-05T07:23:31.621Z,161250981162201
"-- starting hand #2  (No Limit Texas Hold'em) (dealer: ""bb @ THAVWp2FAr"") --",2021-02-05T07:23:31.621Z,161250981162200
"""bb @ THAVWp2FAr"" shows a 2♣, K♣.",2021-02-05T07:23:30.365Z,161250981036600
"-- ending hand #1 --",2021-02-05T07:23:27.994Z,161250980799502
"""aa @ UmDnqTo27H"" collected 80 from pot",2021-02-05T07:23:27.994Z,161250980799501
"Uncalled bet of 20 returned to ""aa @ UmDnqTo27H""",2021-02-05T07:23:27.994Z,161250980799500
"""bb @ THAVWp2FAr"" folds",2021-02-05T07:23:27.187Z,161250980718800
"""aa @ UmDnqTo27H"" bets 20",2021-02-05T07:23:24.850Z,161250980485100
"""bb @ THAVWp2FAr"" checks",2021-02-05T07:23:22.428Z,161250980242900
"River: 3♣, 8♣, 7♦, 3♠ [4♦]",2021-02-05T07:23:07.878Z,161250978788100
"""aa @ UmDnqTo27H"" checks",2021-02-05T07:23:07.070Z,161250978707100
"""bb @ THAVWp2FAr"" checks",2021-02-05T07:23:02.046Z,161250978204800
"Turn: 3♣, 8♣, 7♦ [3♠]",2021-02-05T07:22:57.715Z,161250977771700
"""aa @ UmDnqTo27H"" calls 20",2021-02-05T07:22:56.908Z,161250977690900
"""bb @ THAVWp2FAr"" bets 20",2021-02-05T07:22:53.253Z,161250977325400
"Flop:  [3♣, 8♣, 7♦]",2021-02-05T07:22:39.978Z,161250975998000
"""bb @ THAVWp2FAr"" checks",2021-02-05T07:22:39.168Z,161250975916900
"""aa @ UmDnqTo27H"" calls 20",2021-02-05T07:22:36.490Z,161250975649100
"""bb @ THAVWp2FAr"" posts a big blind of 20",2021-02-05T07:22:33.082Z,161250975308907
"""aa @ UmDnqTo27H"" posts a small blind of 10",2021-02-05T07:22:33.082Z,161250975308906
"Your hand is 8♥, K♦",2021-02-05T07:22:33.082Z,161250975308904
"Player stacks: #1 ""aa @ UmDnqTo27H"" (500) | #2 ""bb @ THAVWp2FAr"" (500)",2021-02-05T07:22:33.082Z,161250975308903
"The player ""bb @ THAVWp2FAr"" joined the game with a stack of 500.",2021-02-05T07:22:33.082Z,161250975308902
"The player ""aa @ UmDnqTo27H"" joined the game with a stack of 500.",2021-02-05T07:22:33.082Z,161250975308901
"-- starting hand #1  (No Limit Texas Hold'em) (dealer: ""aa @ UmDnqTo27H"") --",2021-02-05T07:22:33.082Z,161250975308900
"The admin approved the player ""bb @ THAVWp2FAr"" participation with a stack of 500.",2021-02-05T07:22:18.920Z,161250973892400
"The player ""bb @ THAVWp2FAr"" requested a seat.",2021-02-05T07:22:06.400Z,161250972640200
"The admin approved the player ""aa @ UmDnqTo27H"" participation with a stack of 500.",2021-02-05T07:21:21.541Z,161250968154501
"The player ""aa @ UmDnqTo27H"" requested a seat.",2021-02-05T07:21:21.541Z,161250968154500
